trading_date,overnight_return,morning_return,signal_payoff,accuracy_denominator,correct,day_session_minute_coverage,source_file_sha256,transform_version
2020-03-30,-0.02723955274269381,0.0010718114638066545,0.0010718114638066545,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-03-31,0.015303728755179805,0.0039200363800735005,-0.0039200363800735005,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-04-01,-0.00698552007732692,0.004572973671942998,0.004572973671942998,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-04-02,-0.005322886919949633,-0.0005619556202956558,-0.0005619556202956558,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-04-03,0.0016764463272523522,0.0016736405580296937,-0.0016736405580296937,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-04-06,0.0025355697483688093,0.019780558574178427,-0.019780558574178427,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-04-07,0.016511693372310572,0.0023743580604620755,-0.0023743580604620755,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-04-08,-0.00026277756030863224,0.0013131978249603929,0.0013131978249603929,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-04-09,0.015682496000617777,-0.002076843944839117,0.002076843944839117,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-04-10,0.0,-0.008260243146817581,0.0,0,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-04-13,-0.005189425242225496,0.004153692368693395,0.004153692368693395,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-04-14,0.003402699265337948,0.008585977033174355,-0.008585977033174355,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-04-15,-0.0035796509715029378,0.0005121639036410762,0.0005121639036410762,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-04-16,-0.017244025281615238,-0.0005193456361862487,-0.0005193456361862487,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-04-17,0.017499159866492087,0.01090966040592678,-0.01090966040592678,1,0,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-04-20,-0.01119604570508504,0.005359206395786503,0.005359206395786503,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
2020-04-21,-0.00947388983303055,0.0010285421323305121,0.0010285421323305121,1,1,1.0,77ad8d59ebff6aad88b5688701499490f27f817fb77afbebacdbd01baea42b97,JNU_OVERNIGHT_OVERREACTION_G1_V1
